JNose-AR,Manual-AR,JNose-CTL,Manual-CTL,JNose-CI,Manual-CI,JNose-DA,Manual-DA,JNose-MNT,Manual-MNT,JNose-VT,Manual-VT,JNose-ST,Manual-ST,JNose-EmT,Manual-EmT,JNose-UT,Manual-UT,JNose-PS,Manual-PS,JNose-ECT,Manual-ECT,JNose-SE,Manual-SE,JNose-RA,Manual-RA,JNose-RO,Manual-RO,JNose-GF,Manual-GF,JNose-MG,Manual-MG,JNose-LT,Manual-LT,JNose-ET,Manual-ET
53,53,33-35,33-35,15-20,15-20,"17, 20","17, 20",88,88,23-93,23-93,53-53,53-53,96-100,96-100,22-39,22-39,73,73,65-73,65-73,81,81,34,34,-,63-88,67,67,--,22-39,"77, 54","77, 54","53, 54","53, 54"
54,54,36-38,36-38,24-30,24-30,"53, 54",--,90,90,68-98,68-98,38-38,38-38,24-27,24-27,39-52,39-52,75,75,67-87,67-87,81,81,39,39,-,22-39,-,77,--,34-50,"71, 52","71, 52","30, 74","30, 74"
77,77,39-41,39-41,53-61,53-61,"53, 65","53, 65",64,64,15-54,15-54,67-67,67-67,13-16,13-16,26-31,26-31,84,84,36-38,36-38,48,48,78,78,-,51-75,-,80,--,51-75,"37, 33, 22","37, 33, 22","21, 22","21, 22"
25,25,42-44,42-44,47-52,47-52,"56, 62","56, 62",66,66,61-95,61-95,,,18-21,18-21,57-67,57-67,81,81,62-69,62-69,82,82,79,79,-,34-50,82,82,34-39,34-39,"44, 43, 33, 31","44, 43, 33, 31","31, 32, 33, 35, 36, 37","31, 32, 33, 35, 36, 37"
26,26,45-47,45-47,54-60,54-60,"39, 45","39, 45",53,53,16-84,16-84,,,23-25,23-25,82-93,82-93,90,90,79-87,79-87,42-43,42-43,31,31,74-85,74-85,60,60,41-46,41-46,"51, 48, 32","51, 48, 32","46, 47, 52, 55, 61, 64","46, 47, 52, 55, 61, 64"
28,28,48-50,48-50,,,"41, 47","41, 47",56,56,,,,,56-70,56-70,50-63,50-63,83,83,59-64,59-64,43,43,,,34-39,34-39,61,61,26-31,26-31,"46, 30","46, 30","78, 79","78, 79"
29,29,77-80,77-80,,,"42, 48","42, 48",62,62,,,,,77-93,77-93,27-31,27-31,80,80,73-83,73-83,55-56,55-56,,,41-46,41-46,62,62,33-40,33-40,"53, 36","53, 36","71, 74, 78, 79, 85, 86","71, 74, 78, 79, 85, 86"
30,30,72-81,72-81,,,"16, 19","16, 19",65,65,,,,,,,13-17,13-17,82,82,,,,,,,26-31,26-31,66,66,50-63,50-63,"56, 55, 38","56, 55, 38","38, 41, 44","38, 41, 44"
31,31,83-85,83-85,,,"44, 46","44, 46",72,72,,,,,,,49-65,49-65,85,85,,,,,,,33-40,33-40,67,67,-,15-54,"57, 39","57, 39","73, 74, 75, 79, 97","73, 74, 75"
32,32,86-91,86-91,,,"30, 44","30, 44",76,76,,,,,,,79-82,79-82,,,,,,,,,50-63,50-63,51,51,46-73,46-73,"54, 37","54, 37","30, 32, 33, 35, 36","30, 32, 33, 35, 36"
33,33,74-76,74-76,,,"31, 45","31, 45",80,80,,,,,,,22-47,22-47,,,,,,,,,-,15-54,50,50,38-46,38-46,"38, 29","38, 29","46, 48, 49, 51","46, 48, 49, 51"
88,88,73-75,73-75,,,"32, 46","32, 46",82,82,,,,,,,,,,,,,,,,,46-73,46-73,52,52,-,61-95,"45, 38, 31","45, 38, 31","31, 32, 33","31, 32, 33"
90,90,77-83,77-83,,,"33, 47","33, 47",42,42,,,,,,,,,,,,,,,,,38-46,38-46,30,30,-,62-89,"90, 63","90, 63","41, 42, 43, 44, 45, 46, 47, 48","41, 42, 43, 44, 45, 46, 47, 48"
17,17,46-48,46-48,,,"36, 50","36, 50",48,48,,,,,,,,,,,,,,,,,-,61-95,40,40,-,37-44,"90, 63","90, 63","36, 37, 38, 39","36, 37, 38, 39"
20,20,28-30,28-30,,,"37, 51","37, 51",-,91,,,,,,,,,,,,,,,,,-,62-89,46,46,,,"104, 78","104, 78","53, 54, 55, 56, 57","53, 54, 55, 56, 57"
23,23,94-96,94-96,,,"38, 52","38, 52",66,66,,,,,,,,,,,,,,,,,42-43,37-44,69,69,,,"61, 54, 47","61, 54, 47","16, 19","16, 19"
29,29,41-42,41-42,,,"39, 53","39, 53",45,45,,,,,,,,,,,,,,,,,,,65,65,,,"58, 57, 46","58, 57, 46",65,65
42,42,38-49,38-49,,,,,44,44,,,,,,,,,,,,,,,,,,,66,66,,,"30, 25","30, 25","40, 41","40, 41"
50,50,22-24,22-24,,,,,46,46,,,,,,,,,,,,,,,,,,,67,67,,,"82, 76, 70, 64","82, 76, 70, 64","51, 54, 55","51, 54, 55"
51,51,52-54,52-54,,,,,71,71,,,,,,,,,,,,,,,,,,,68,68,,,"35, 32, 29, 16, 14","35, 32, 29, 16, 14","37, 38","37, 38"
67,67,57-59,57-59,,,,,90,90,,,,,,,,,,,,,,,,,,,,,,,"18, 12","18, 12","42, 43, 45","42, 43, 45"
69,69,64-66,64-66,,,,,48,48,,,,,,,,,,,,,,,,,,,,,,,"19, 13","19, 13","48, 51, 52, 53","45, 48, 51, 52, 53"
21,21,67-69,67-69,,,,,55,55,,,,,,,,,,,,,,,,,,,,,,,"53, 47","53, 47","39, 46",
22,22,83-87,83-87,,,,,62,62,,,,,,,,,,,,,,,,,,,,,,,--,"55, 70","20, 22, 23","20, 22, 23"
31,31,78-89,78-89,,,,,-,44,,,,,,,,,,,,,,,,,,,,,,,"71, 57","71, 57","84, 90","84, 90"
32,32,74-94,74-94,,,,,30,30,,,,,,,,,,,,,,,,,,,,,,,"82, 63","82, 63","28, 30, 31, 32, 33, 35, 38, 39, 42, 44, 45, 46, 47, 49, 52, 53","28, 30, 31, 32, 33, 35, 38, 39, 42, 44, 45, 46, 47, 49, 52, 53"
33,33,76-81,76-81,,,,,31,31,,,,,,,,,,,,,,,,,,,,,,,"81, 63","81, 63","14, 16","14, 16"
35,35,39-62,39-62,,,,,44,44,,,,,,,,,,,,,,,,,,,,,,,"84, 64","84, 64",22,22
36,36,42-44,42-44,,,,,45,45,,,,,,,,,,,,,,,,,,,,,,,"69, 56","69, 56","28, 29, 31, 32, 34, 35","28, 29, 31, 32, 34, 35"
37,37,37-45,37-45,,,,,25,25,,,,,,,,,,,,,,,,,,,,,,,,,"12, 13, 15, 16, 17, 19, 20","12, 13, 15, 16, 17, 19, 20"
53,53,31-46,31-46,,,,,30,30,,,,,,,,,,,,,,,,,,,,,,,,,"87, 88, 90, 91, 93, 94, 96, 97, 98, 100, 101, 102, 103, 104, 106, 107, 108, 109, 110",--
54,54,,,,,,,53,53,,,,,,,,,,,,,,,,,,,,,,,,,"12, 13","12, 13"
50,50,,,,,,,58,58,,,,,,,,,,,,,,,,,,,,,,,,,"18, 19","18, 19"
51,51,,,,,,,87,87,,,,,,,,,,,,,,,,,,,,,,,,,"11, 12, 13, 14","11, 12, 13, 14"
62,62,,,,,,,88,88,,,,,,,,,,,,,,,,,,,,,,,,,"56, 57, 63","56, 57, 63"
64,64,,,,,,,90,90,,,,,,,,,,,,,,,,,,,,,,,,,"71, 82","71, 82"
66,66,,,,,,,91,91,,,,,,,,,,,,,,,,,,,,,,,,,"71, 72, 74, 75, 79, 92","71, 72, 74, 75, 79, 92"
70,70,,,,,,,93,93,,,,,,,,,,,,,,,,,,,,,,,,,"37, 39, 40, 41, 42, 43","37, 39, 40, 41, 42, 43"
71,71,,,,,,,94,94,,,,,,,,,,,,,,,,,,,,,,,,,"73, 74, 78, 79","73, 74, 78, 79"
77,77,,,,,,,96,96,,,,,,,,,,,,,,,,,,,,,,,,,"39, 40, 41, 42","39, 40, 41, 42"
80,80,,,,,,,97,97,,,,,,,,,,,,,,,,,,,,,,,,,"56, 57","56, 57"
80,80,,,,,,,98,98,,,,,,,,,,,,,,,,,,,,,,,,,"69, 70, 71, 74","69, 70, 71, 74"
85,85,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,"63, 64","63, 64"
86,86,,,,,,,101,101,,,,,,,,,,,,,,,,,,,,,,,,,"81, 84","81, 84"
