Group,#,Manual-AR,JNose-AR,tsDetect-AR,Manual-CTL,JNose-CTL,tsDetect-CTL
G1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G1,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G1,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
G1,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G1,5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G2,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G2,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
G2,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
G2,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
G3,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G3,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
G3,3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
G3,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G3,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
G4,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G4,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G4,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
G4,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G4,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
G5,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G5,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G5,3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
G5,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G5,5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G6,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
G6,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
G6,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G6,4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
G6,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
G7,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
G7,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
G7,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
G7,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
G7,5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G8,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G8,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
G8,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
G8,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G8,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
G9,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G9,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
G9,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G9,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
G9,5,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
G10,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G10,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
G10,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G10,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
G10,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
G11,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
G11,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G11,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G11,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
G11,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
G12,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
G12,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G12,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
G12,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
G12,5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G13,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
G13,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
G13,3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
G13,4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
G13,5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
