Line-ET,JNose-ET,Manual-ET
"53, 54",TRUE,TRUE
"30, 74",TRUE,TRUE
"21, 22",TRUE,TRUE
"31, 32, 33, 35, 36, 37",TRUE,TRUE
"46, 47, 52, 55, 61, 64",TRUE,TRUE
"78, 79",FALSE,TRUE
"71, 74, 78, 79, 85, 86",TRUE,TRUE
"38, 41, 44",TRUE,TRUE
"-73, 74, 75-",FALSE,TRUE
"30, 32, 33, 35, 36",TRUE,TRUE
"46, 48, 49, 51",TRUE,TRUE
"31, 32, 33",TRUE,TRUE
"41, 42, 43, 44, 45, 46, 47, 48",TRUE,TRUE
"36, 37, 38, 39",TRUE,TRUE
"53, 54, 55, 56, 57",TRUE,TRUE
"16, 19",TRUE,TRUE
65,TRUE,TRUE
"40, 41",TRUE,TRUE
"51, 54, 55",TRUE,TRUE
"37, 38",TRUE,TRUE
"42, 43, 45",TRUE,TRUE
"45, 48, 51, 52, 53",FALSE,TRUE
"39, 46",TRUE,FALSE
"20, 22, 23",TRUE,TRUE
"84, 90",TRUE,TRUE
"28, 30, 31, 32, 33, 35, 38, 39, 42, 44, 45, 46, 47, 49, 52, 53",TRUE,TRUE
"14, 16",TRUE,TRUE
22,TRUE,TRUE
"28, 29, 31, 32, 34, 35",TRUE,TRUE
"12, 13, 15, 16, 17, 19, 20",TRUE,TRUE
"87, 88, 90, 91, 93, 94, 96, 97, 98, 100, 101, 102, 103, 104, 106, 107, 108, 109, 110",TRUE,FALSE
"12, 13",TRUE,TRUE
"18, 19",TRUE,TRUE
"11, 12, 13, 14",TRUE,TRUE
"56, 57, 63",TRUE,TRUE
"71, 82",TRUE,TRUE
"71, 72, 74, 75, 79, 92",TRUE,TRUE
"37, 39, 40, 41, 42, 43",TRUE,TRUE
"73, 74, 78, 79",TRUE,TRUE
"39, 40, 41, 42",TRUE,TRUE
"56, 57",TRUE,TRUE
"69, 70, 71, 74",TRUE,TRUE
"63, 64",TRUE,TRUE
"81, 84",TRUE,TRUE
"32, 35, 39",TRUE,TRUE
"41, 44, 47",TRUE,TRUE
