Lines-MNT,JNose-MNT,Manual-MNT
88,TRUE,TRUE
90,TRUE,TRUE
64,TRUE,TRUE
66,TRUE,TRUE
53,TRUE,TRUE
56,TRUE,TRUE
62,TRUE,TRUE
65,TRUE,TRUE
72,TRUE,TRUE
76,TRUE,TRUE
80,TRUE,TRUE
82,TRUE,TRUE
42,TRUE,TRUE
48,TRUE,TRUE
91,FALSE,TRUE
66,TRUE,TRUE
45,TRUE,TRUE
44,TRUE,TRUE
46,TRUE,TRUE
71,TRUE,TRUE
90,TRUE,TRUE
48,TRUE,TRUE
55,TRUE,TRUE
62,TRUE,TRUE
44,FALSE,TRUE
30,TRUE,TRUE
31,TRUE,TRUE
44,TRUE,TRUE
45,TRUE,TRUE
25,TRUE,TRUE
30,TRUE,TRUE
53,TRUE,TRUE
58,TRUE,TRUE
87,TRUE,TRUE
88,TRUE,TRUE
90,TRUE,TRUE
91,TRUE,TRUE
93,TRUE,TRUE
94,TRUE,TRUE
96,TRUE,TRUE
97,TRUE,TRUE
98,TRUE,TRUE
100,TRUE,TRUE
101,TRUE,TRUE
102,TRUE,TRUE
103,TRUE,TRUE
104,TRUE,TRUE
106,TRUE,TRUE
107,TRUE,TRUE
108,TRUE,TRUE
109,TRUE,TRUE
110,TRUE,TRUE
86,TRUE,TRUE
66,TRUE,TRUE
55,FALSE,TRUE
57,TRUE,TRUE
73,TRUE,TRUE
