JNose-AR,Manual-AR
"""53""","""53"""
"""54""","""54"""
"""77""","""77"""
"""25""","""25"""
"""26""","""26"""
"""28""","""28"""
"""29""","""29"""
"""30""","""30"""
"""31""","""31"""
"""32""","""32"""
"""33""","""33"""
"""88""","""88"""
"""90""","""90"""
"""17""","""17"""
"""20""","""20"""
"""23""","""23"""
"""29""","""29"""
"""42""","""42"""
"""50""","""50"""
"""51""","""51"""
"""67""","""67"""
"""69""","""69"""
"""21""","""21"""
"""22""","""22"""
"""31""","""31"""
"""32""","""32"""
"""33""","""33"""
"""35""","""35"""
"""36""","""36"""
"""37""","""37"""
"""53""","""53"""
"""54""","""54"""
"""50""","""50"""
"""51""","""51"""
"""62""","""62"""
"""64""","""64"""
"""66""","""66"""
"""70""","""70"""
"""71""","""71"""
"""77""","""77"""
"""80""","""80"""
"""80""","""80"""
"""85""","""85"""
"""86""","""86"""
"""87""","""87"""
"""88""","""88"""
"""89""","""89"""
"""90""","""90"""
"""91""","""91"""
"""72""","""72"""
"""76""","""76"""
"""80""","""80"""
"""81""","""81"""
"""82""","""82"""
"""36""","""36"""
"""47""","""47"""
"""39""","""39"""
"""42""","""42"""
"""45""","""45"""
"""33""","""33"""
"""36""","""36"""
"""58""","""58"""
"""59""","""59"""
"""32""","""32"""
"""34""","""34"""
"""41""","""41"""
"""42""","""42"""
"""45""","""45"""
"""47""","""47"""
"""48""","""48"""
"""90""","""90"""
"""91""","""91"""
"""41""","""41"""
"""54""","""54"""
"""55""","""55"""
"""66""","""66"""
"""68""","""68"""
"""45""","""45"""
"""16""","""16"""
"""19""","""19"""
"""40""","""40"""
"""44""","""44"""
"""46""","""46"""
"""58""","""58"""
"""71""","""71"""
"""47""","""47"""
"""48""","""48"""
"""90""","""90"""
"""91""","""91"""
"""92""","""92"""
"""73""","""73"""
"""74""","""74"""
"""75""","""75"""
"""87""","""87"""
"""95""","""95"""
"""31""","""31"""
"""38""","""38"""
"""45""","""45"""
"""30""","""30"""
"""39""","""39"""
"""20""","""20"""
"""23""","""23"""
"""48""","""48"""
"""55""","""55"""
"""62""","""62"""
"""41""","""41"""
"""43""","""43"""
"""44""","""44"""
"""47""","""47"""
"""30""","""30"""
"""31""","""31"""
"""32""","""32"""
"""33""","""33"""
"""36""","""36"""
"""37""","""37"""
"""38""","""38"""
"""39""","""39"""
"""44""","""44"""
"""45""","""45"""
"""46""","""46"""
"""47""","""47"""
"""50""","""50"""
"""51""","""51"""
"""52""","""52"""
"""53""","""53"""
"""25""","""25"""
"""30""","""30"""
"""54""","""54"""
"""59""","""59"""
"""65""","""65"""
"""71""","""71"""
"""77""","""77"""
"""83""","""83"""
"""14""","""14"""
"""16""","""16"""
"""22""","""22"""
"""28""","""28"""
"""31""","""31"""
"""34""","""34"""
"""53""","""53"""
"""55""","""55"""
"""58""","""58"""
"""15""","""15"""
"""16""","""16"""
"""17""","""17"""
"""20""","""20"""
"""87""","""87"""
"""88""","""88"""
"""90""","""90"""
"""91""","""91"""
"""93""","""93"""
"""94""","""94"""
"""96""","""96"""
"""97""","""97"""
"""98""","""98"""
"""100""","""100"""
"""101""","""101"""
"""102""","""102"""
"""103""","""103"""
"""104""","""104"""
"""106""","""106"""
"""107""","""107"""
"""108""","""108"""
"""109""","""109"""
"""110""","""110"""
"""13""","""13"""
"""19""","""19"""
"""16""","""16"""
"""17""","""17"""
"""18""","""18"""
"""22""","""22"""
"""81""","""81"""
"""101""","""101"""
"""48""","""48"""
"""54""","""54"""
"""34""","""34"""
"""45""","""45"""
"""93""","""93"""
"""37""","""37"""
"""38""","""38"""
"""39""","""39"""
"""40""","""40"""
"""48""","""48"""
"""49""","""49"""
"""45""","""45"""
"""46""","""46"""
"""48""","""48"""
"""77""","""77"""
"""42-43""","""42-43"""
"""66""","""66"""
"""67""","""67"""
"""78""","""78"""
"""79""","""79"""
"""80""","""80"""
"""81""","""81"""
"""82""","""82"""
"""87""","""87"""
"""88""","""88"""
"""42""","""42"""
"""76""","""76"""
"""40""","""40"""
"""41""","""41"""
"""42""","""42"""
"""43""","""43"""
"""66""","""66"""
"""67""","""67"""
"""69""","""69"""
"""70""","""70"""
"""79""","""79"""
"""87""","""87"""
"""88""","""88"""
"""25""","""25"""
"""31""","""31"""
"""55""","""55"""
"""57""","""57"""
"""73""","""73"""
"""74""","""74"""
"""75""","""75"""
"""76""","""76"""
